epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2829.04,1.46541,1.31468,1.59744,0.86854,0.7752,0.85348,0.49733,1.4143,0.91664,1.45995,0.005743,0.005743,0.005743
45,2893.24,1.45981,1.30275,1.59933,0.86955,0.77554,0.8545,0.50518,1.41341,0.91328,1.45579,0.005644,0.005644,0.005644
46,2957,1.46181,1.30736,1.59211,0.86697,0.7884,0.8631,0.5103,1.39255,0.90193,1.44405,0.005545,0.005545,0.005545
47,3020.49,1.44933,1.28534,1.58001,0.86581,0.79321,0.86456,0.51611,1.40752,0.89166,1.44495,0.005446,0.005446,0.005446
48,3084.09,1.44347,1.2862,1.57619,0.8678,0.78082,0.85627,0.52194,1.36968,0.89257,1.42775,0.005347,0.005347,0.005347
49,3147.76,1.44213,1.27673,1.57416,0.88725,0.78741,0.86599,0.52287,1.36333,0.87246,1.4199,0.005248,0.005248,0.005248
50,3211.93,1.43997,1.26754,1.56948,0.88476,0.78312,0.87293,0.52239,1.37004,0.87312,1.42851,0.005149,0.005149,0.005149
51,3275.79,1.42353,1.25003,1.56009,0.87929,0.78411,0.86726,0.52578,1.35359,0.87598,1.422,0.00505,0.00505,0.00505
52,3339.21,1.43025,1.24603,1.56815,0.88103,0.78016,0.86161,0.52115,1.37283,0.87609,1.42406,0.004951,0.004951,0.004951
53,3403.19,1.41509,1.22276,1.54841,0.87843,0.79065,0.86639,0.52345,1.36471,0.87148,1.42236,0.004852,0.004852,0.004852
54,3467.63,1.41478,1.21282,1.54862,0.88389,0.79285,0.86454,0.52933,1.34134,0.85822,1.41345,0.004753,0.004753,0.004753
55,3531.57,1.40579,1.20804,1.54245,0.8856,0.79301,0.86978,0.53439,1.31913,0.8424,1.39448,0.004654,0.004654,0.004654
56,3595.4,1.40327,1.20992,1.53478,0.88374,0.78666,0.87203,0.53639,1.31839,0.84453,1.38687,0.004555,0.004555,0.004555
57,3659.41,1.38944,1.19928,1.53636,0.88609,0.78197,0.87074,0.53953,1.32393,0.83869,1.39569,0.004456,0.004456,0.004456
58,3723.16,1.38782,1.18063,1.52487,0.90078,0.78399,0.87299,0.53838,1.32769,0.82963,1.39537,0.004357,0.004357,0.004357
